id,loan_status,prob
58645,1,0.9203
58646,0,0.0286
58647,0,0.3995
58648,0,0.055
58649,0,0.1664
58650,1,0.8881
58651,0,0.0093
58652,0,0.0172
58653,0,0.2817
58654,0,0.043
58655,0,0.0346
58656,0,0.0819
58657,0,0.0622
58658,0,0.0255
58659,0,0.0624
58660,0,0.1917
58661,0,0.0217
58662,0,0.007
58663,0,0.1312
58664,0,0.0198
58665,0,0.0474
58666,0,0.011
58667,0,0.0061
58668,0,0.0179
58669,0,0.021
58670,0,0.0072
58671,0,0.0982
58672,0,0.0091
58673,1,0.7158
58674,0,0.0104
58675,0,0.0272
58676,0,0.1635
58677,0,0.0645
58678,0,0.0013
58679,0,0.1834
58680,1,0.7646
58681,0,0.067
58682,0,0.0087
58683,0,0.0161
58684,0,0.0587
58685,0,0.0898
58686,0,0.0373
58687,1,0.7396
58688,0,0.0089
58689,0,0.2181
58690,0,0.0044
58691,0,0.0531
58692,0,0.059
58693,0,0.0082
58694,0,0.0246
58695,1,0.8865
58696,0,0.029
58697,0,0.0737
58698,0,0.051
58699,0,0.0392
58700,0,0.0095
58701,0,0.0221
58702,0,0.0387
58703,0,0.1786
58704,0,0.0759
58705,0,0.2153
58706,0,0.0376
58707,0,0.0303
58708,0,0.039
58709,1,0.7808
58710,0,0.0245
58711,1,0.6516
58712,0,0.0545
58713,0,0.0005
58714,0,0.0348
58715,0,0.0214
58716,0,0.0301
58717,0,0.0165
58718,0,0.0913
58719,0,0.0042
58720,0,0.0073
58721,0,0.0668
58722,0,0.0897
58723,0,0.0456
58724,0,0.0206
58725,0,0.0359
58726,0,0.0479
58727,0,0.3075
58728,0,0.0902
58729,0,0.0131
58730,0,0.0515
58731,0,0.0296
58732,0,0.0315
58733,0,0.0035
58734,0,0.0121
58735,0,0.0387
58736,0,0.0796
58737,0,0.0813
58738,1,0.8
58739,0,0.3078
58740,1,0.715
58741,0,0.0472
58742,0,0.0147
58743,0,0.0369
58744,0,0.0246
58745,0,0.0164
58746,0,0.0768
58747,0,0.013
58748,0,0.0271
58749,0,0.0418
58750,0,0.0547
58751,0,0.1778
58752,0,0.4789
58753,0,0.0162
58754,0,0.0576
58755,0,0.167
58756,0,0.0166
58757,0,0.0243
58758,0,0.0141
58759,0,0.0037
58760,0,0.0107
58761,0,0.0179
58762,0,0.0121
58763,1,0.9996
58764,0,0.0051
58765,0,0.0516
58766,0,0.0376
58767,0,0.0325
58768,1,0.7788
58769,0,0.0304
58770,0,0.0583
58771,0,0.0656
